CompanyName,Website,Industry,HQ,Country,Description,CompanySize,DateVictimized,NumViews (of threat),RansomDataSize,RansomDataType,RansomwareGroup
ETATEAM.BE,http://www.etateam.be/,Financial Services,Brussels,Belgium,European Team is an accountant in Brussels in the province of Province of Brussels in the Brussels-Capital region. The firm is established at Rue Joseph Druez 182. European Team and created on 03-02-1986. European Team is known under company number 428490273. The legal form of the company is SPRL. The firm on rue Rue Joseph Druez has 1 to 4 employees. At the bottom of this page you will find more data about this firm.,,"JUL 5, 2024",21238,15,"['Employee and HR data', 'Legal Documents']",Qilin
FELDA GLOBAL VENTURES HOLDINGS BERHAD,http://www.feldaglobal.com/,Manufacturing,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Malaysia,"FGV Holdings Berhad is based in Malaysia and is one of the countryâs leading globally-integrated, diversified agri-business that focuses on the whole supply chain of palm oil, sugar manufacturing and downstream activities in oils & fats and oleo-chemicals. We operate in more than 10 countries across Asia, the Middle East, North America, and Europe.
 
Incorporated in Malaysia as a private limited company 2007, FGV initially operated as the commercial arm of Federal Land Development Authority (FELDA). On 28 June 2012, the company was listed on the main market of Bursa Malaysia Securities Berhad as Felda Global Ventures Holdings Berhad.  
 
FGV operates on 439,725 ha of landbank  in Malaysia and Indonesia. FGV produces around 3 million MT Crude Palm Oil (CPO), processing over 13 million MT fruits including from Felda smallholders and third party estates.  
 
Our focus spans three core business sectors: Plantation Sector, Logistics & Support Business (LSB) Sector and Sugar Sector. With more than 45,000 strong workfore including field workers, FGV aspires to be one of the world's leading agri-business companies while continuously drive a sustainable business and deliver value to our shareholders.


Â© FGV Holdings Berhad (800165-P/200701042133). All rights reserved","10,001+ employees","JUL 5, 2024",21679,291,"['Financial Data', 'Customer and Client Data', 'Legal Documents', 'Intellectual Property', 'Databases']",Qilin
MADERO,http://www.madero.ca/,Manufacturing,Saskatoon,Canada,"For more than 35 years MaderÃ³ has been a leading company in the sector of bathroom furniture.
The companyâs aim has always been the design and the search for the latest trends in decoration an interior design.
Offering a wide range of collections which use a variety of materials: veneers, solid wood, lacquered MDF, glass, steelâ¦ 
MaderÃ³ use latest generation fittings and elements and selects the best suppliers from around the world. 
Maderoâs products are sold through specialized distributors who are carefully chosen. Our network of representatives, with a presence in the main geographical areas, guarantees a full quality service.",51-200 employees,"JUL 5, 2024",20996,350,['unknown'],Qilin
BIG ISSUE GROUP,http://www.bigissue.com/,Media,"London, Greater London",United Kingdom,"From an award-winning magazine offering employment opportunities to people in poverty, to a multi-million pound social investment business supporting enterprise to drive social change. For over 25 years The Big Issue Group has strived to dismantle poverty through creating opportunity, in the process becoming one of the most recognised and trusted brands in the UK.",51-200 employees,"JUL 5, 2024",20763,530,"['Financial Data', 'PII', 'Customer and Client Data', 'Legal Documents', 'Databases']",Qilin
WATERGATE,http://www.thewatergatehotel.com/,Manufacturing,"London, London",United States,"Ending the era of dumb water.
Watergate is a water tech company dedicated to combating water leaks and promoting conservation. Our innovative solution helps property owners, building managers, and insurers protect assets and mitigate the impacts of water-related damage.",11-50 employees,"JUL 5, 2024",20753,289,['Customer and Client Data'],Qilin
MCS,http://www.mitchellcountychamber.org/,Membership Organizations,North Carolina,United States,"The Mitchell County Chamber of Commerce is the areaÕs largest business organization and has served the Mitchell County area for more than 50 years. A lot has changed over the last fifty years and while we still value the honest and hardworking community we live in, we understand that businesses and organizations just donÕt operate in the same world as they used to. In response we are developing new ways of defining the business community, connecting our member businesses through new networks and encouraging a spirit of renewal in our entrepreneurial community. While we are moving forward with innovative ways of helping our members grow and succeed, we still base our core business models and relationships with our members on old-fashioned mountain values.",,"JUL 5, 2024",20174,53,['Customer and Client Data'],Qilin
DR CHARLES A EVANS,http://www.charlesevansmd.com/,Healthcare,"Lufkin, Texas",United States,"For people who have not found answers in other places, we help navigate and find solutions for difficult and chronic health issues. Our approach utilizes cutting-edge diagnostics, long visit times, and deep and inquisitive listening, all culminating in 100% individualized patient-specific treatment plans. Additionally, this system helps empower patients to learn how to experience a lifestyle which moves them away from chronic and debilitating disease towards adaptability and vitality.",,"JUL 5, 2024",19722,3,"['Customer and Client Data', 'Healthcare Data']",Qilin
JEAN-NOUVEL,http://www.jeannouvel.com/,Retail,Paris,France,"Ateliers Jean Nouvel (AJN) is a world-renowned design firm that gathers a multicultural team of 140 persons from more than twenty countries. 
AJN benefits from Jean Nouvelâs experience as the head of several practices dating back to 1970. AJN combines the disciplines of architecture, urban planning, interior design, landscape design, graphic design, and product design into a single integrated practice. 
AJNâs diverse, world spanning portfolio includes museums, concert halls, conference centers, theaters, hotels, residential buildings, office buildings, commercial centers, and private residences. ",,"JUL 5, 2024",12628,314,['unknown'],Qilin
THE WEINSTEIN FIRM,http://www.weinsteinwin.com/,Legal Services,Georgia,United States,"At The Weinstein Firm LLC, we operate on what is called a contingency fee basis. ",2-10 employees,"JUL 5, 2024",12450,89,"['Financial Data', 'Customer and Client Data']",Qilin
W.P.J. MCCARTHY AND COMPANY,http://www.wpjmccarthy.com/,Real Estate,"Burnaby, BC",Canada,"W.P.J. McCarthy and Company is a privately owned full service real estate firm specializing in the purchase, conception, development, leasing, and management of our own privately held commercial real estate portfolio. As Landlords, we pride ourselves on working with our Tenants, trades, and other partners, to develop and manage properties that provide the communities we work in with great services and economic benefits.",2-10 employees,"JUL 5, 2024",10545,70,"['Employee and HR data', 'Legal Documents']",Qilin
THOLEN BUILDING TECHNOLOGY GROUP,http://www.tholen-gebaeudetechnik.de/,Construction,Geilenkirchen,Germany,Tholen Gruppe is a company that operates in the Building Materials industry. ,,"JUL 5, 2024",9585,344,"['Customer and Client Data', 'Utility and Infrastructure Data']",Qilin
WILLIAMSRDM.COM,http://www.williamsrdm.com/,Manufacturing,"Fort Worth, Texas",United States,"WilliamsRDM, Inc., is a woman-owned, privately held small business known for its innovative product development and short-run, high-complexity precision manufacturing. Located in Fort Worth, Texas, the company develops and manufactures more than 200 unique productsâall designed in house for the aerospace, defense, and energy sectors. Among the many leading companies in these industries, WilliamsRDM has worked with Lockheed Martin, Boeing, Halliburton, and Northrop Grumman. Many of the USAâs most respected military aircraftâthe A-10, F-15, F-16, F-18,  F-22, F-35, and V-22âuse WilliamsRDM test equipment, cabling, and connectors to keep them flying. The company is also proud to manufacture a simple, affordable line of residential fire suppression products âStoveTop FireStopâthat protects more than a million American families each day.

For fifty years WilliamsRDM has been an example of ingenuity and can-do spirit in the heart of Fort Worth, Texas. We believe in American exceptionalism because we walk that walk every day. Weâve proven you donât have to be big to do big things, and weâd challenge you to find any other company our size with the engineering and manufacturing capabilities we field under one roof. The hundreds of innovative products weâve developed and manufactured for the likes of Lockheed Martin, Boeing, Northrop Grumman, and Halliburton say a lot about our competence in design innovation and high-complexity, short run, precision manufacture. The test equipment, cables, connectors, intelligent mobile power grid and other solutions weâve designed for defense, energy, and fire suppression attest to our capabilities. When others in our business wouldnât dare assume the risk, we put our money where our mouth is, funding development of our own proof-of-concept prototypes. Weâve earned our reputation: â...when others canât or wonât... Williams will!â",51-200 employees,"JUL 5, 2024",9490,104,['Intellectual Property'],Qilin
